incident_id,company_name,company_revenue_usd,country_hq,industry_primary,industry_secondary,employee_count,is_public_company,stock_ticker,incident_date,incident_date_estimated,discovery_date,disclosure_date,attack_vector_primary,attack_vector_secondary,attack_chain,attributed_group,attribution_confidence,data_compromised_records,data_type,systems_affected,downtime_hours,data_source_primary,data_source_secondary,data_source_type,confidence_tier,quality_score,quality_grade,review_flag,notes,created_at,updated_at
2021-0508-001,Quantum Asset Assurance Group Inc.,1343769307.79,US,52,54,3940,True,QAA,2021-05-08,False,2021-05-12,2021-06-20,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,NoName057,suspected,26888.0,mixed,"payment_systems,HR_systems",16.52,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001492738&type=8-K&dateb=20211220&owner=include&count=10,https://www.quantum-asset-assurance-g.com/newsroom/2021/05/security-update,sec_filing,1,97.89,Gold,,Multiple subsidiaries affected across 6 jurisdictions,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2025-0821-001,Beacon Lumen Industries Holdings Inc.,271568021.35,US,31-33,,2121,True,BLI,2025-08-21,False,2025-08-23,2025-10-01,apt,supply_chain,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,FIN11,probable,58001.0,health,"file_servers,VPN",129.37,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001693169&type=8-K&dateb=20250304&owner=include&count=10,,sec_filing,1,90.37,Gold,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2025-0529-001,BazaarBrand Stores Co.,39914029678.95,US,44-45,,776266,True,BAZA,2025-05-29,True,2025-06-05,2025-06-25,ransomware,,,Killnet,suspected,30907.0,financial,"email,cloud_infrastructure,ERP,file_servers",91.85,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001180222&type=8-K&dateb=20250111&owner=include&count=10,,sec_filing,1,82.4,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2025-0818-001,MarketFresh Stores Corp.,108537488953.55,CA,44-45,,723769,True,MAR1.TO,2025-08-18,False,2025-08-26,2025-09-16,apt,ddos,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,BlackBasta,suspected,143751.0,IP,HR_systems,134.16,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001168099&type=8-K&dateb=20250225&owner=include&count=10,https://www.marketfresh-stores-corp.com/newsroom/2025/07/security-update,sec_filing,1,54.42,Bronze,low_quality_score,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2023-0512-001,Gallagher Administration Group Inc.,826792409.83,US,92,51,5756,False,,2023-05-12,True,2023-06-12,2023-06-27,ransomware,,Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,Vice_Society,suspected,13561.0,IP,"ERP,HR_systems,VPN,customer_database",235.57,https://www.gallagher-administration-.com/newsroom/2023/08/security-update,,company_pr,2,74.28,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2025-1022-001,Brooks Consulting Co.,4675299195.72,US,54,,16667,False,,2025-10-22,False,2025-11-02,2025-12-22,ransomware,,,Play,probable,125179.0,mixed,"HR_systems,backup_systems",39.44,https://therecord.media/2025/11/13/brooks-consulting-co-breached,,verified_media,4,74.47,Silver,,Company undergoing M&A at time of incident; financial attribution complex,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2024-0722-001,Gallagher Bank Inc.,4256767662.67,US,52,,10084,False,,2024-07-22,False,2024-10-24,2024-11-11,malware,,Trojanized installer via SEO-poisoned download → fileless PowerShell execution → registry run-key persistence → credential dumping via LSASS → data staged for exfil,Scattered_Spider,unknown,220581.0,mixed,"file_servers,backup_systems",64.41,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001980165&type=8-K&dateb=20240518&owner=include&count=10,,sec_filing,1,74.4,Silver,,Multiple subsidiaries affected across 8 jurisdictions,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2022-0219-001,FundRisk Bank Technologies Ltd.,61550130971.46,IL,52,,123675,True,FBT.TA,2022-02-19,False,2022-03-06,2022-03-21,ransomware,,,Hunters_International,probable,356997.0,credentials,ERP,33.7,https://www.mandiant.com/resources/blog/fundrisk-bank-techno-incident-response-2022,,cybersecurity_firm,3,81.69,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2023-0601-001,Eindhoven Agency N.V.,1330577929.75,NL,92,,14167,False,,2023-06-01,False,2023-06-15,2023-06-20,malware,,,DarkSide,probable,1000.0,credentials,"email,VPN,CRM",420.72,https://www.aepd.es/decisions/2023/12/INQ-2023-00026,https://www.eindhoven-agency-nv.com/newsroom/2023/06/security-update,gdpr_notification,1,76.88,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
2022-1227-001,Takahashi Sciences Holdings Inc.,10092452867.3,US,62,,64897,False,,2022-12-27,True,2023-01-07,2023-01-22,apt,,Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,,,112824.0,mixed,"CRM,SSO",18.65,https://www.bfdi.bund.de/decisions/2022/11/INQ-2022-00029,https://blog.talosintelligence.com/2022/11/takahashi-sciences-h-campaign.html,gdpr_notification,1,79.44,Silver,,,2026-02-12 10:00:00+00:00,2026-02-12 10:00:00+00:00
